Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
37	-12.200404	72.41308	81.67763	-90.54052	658.3333	1.2291926	23.043695	29.960604	-28.204453	152000	9.536743e-09	2944.1665	-0.00861251	-1267.6057	1.0949535	0.014179519	0.1115	79.0	321.2253932952881
38	-93.68762	49.02597	-5.970462	-180.194	499.625	-15.541108	8.213652	13.798457	-26.194405	156000	9.536743e-09	5179.062	-0.009669164	-1933.0447	1.0368474	0.01274394	0.1135	79.0	331.0342206954956
39	-140.2919	62.05347	-59.06857	-247.38101	541.7143	-32.92525	7.7273154	26.162067	-37.189457	160000	7.629395e-09	9305.823	-0.007790859	-3272.6602	1.0644138	0.007307476	0.104	79.0	340.0693769454956
40	18.295807	36.82259	51.60045	-40.29153	1000.0	-54.00536	0.29868802	-50.931633	-54.18646	164000	1.4305115e-09	3139.246	-0.006735601	-246.69995	0.971224	0.00658508	0.07875	79.0	351.559020280838
41	-23.983925	75.517105	117.11128	-112.65092	651.5	-51.609596	0.16243675	-50.60107	-51.862892	168000	3.8146974e-09	2610.8423	-0.008928181	-50.049805	0.9763465	0.0068856115	0.07425	79.0	362.79384112358093
42	17.727207	109.32938	212.38873	-124.809105	739.6	-50.31455	0.39154762	-47.21215	-50.559486	172000	1.9073486e-08	5833.475	-0.006376798	-267.9751	1.0101526	0.010740787	0.11775	79.0	373.4003427028656
43	10.481706	107.17924	120.2807	-166.96121	859.75	-46.893383	0.41031995	-45.78362	-47.78435	176000	-1.3351441e-08	7484.82	-0.005184816	-480.96436	0.9727034	0.006985929	0.0365	79.0	384.30356526374817
44	-32.38387	83.18127	140.89883	-100.61398	593.3333	-40.76898	0.9629198	-35.559937	-42.57922	180000	1.9073486e-08	4998.683	-0.007882242	-190.6211	0.9856495	0.0037947344	0.071	79.0	394.00823616981506
45	21.595375	112.96014	177.68695	-139.54951	648.6667	-36.340904	1.0506917	-34.424454	-39.52704	184000	-1.1444092e-08	8128.095	-0.005366909	-242.3872	0.9585103	0.006921974	0.0575	79.0	404.1315121650696
46	70.26348	130.8839	232.04585	-87.84718	618.3333	-32.04259	2.0977721	-28.546747	-38.883816	188000	1.3351441e-08	9583.56	-0.007857909	-817.1289	0.97369903	0.008580142	0.09175	79.0	414.3828330039978
47	47.388725	86.179016	143.06946	-67.7561	649.2	-22.632614	1.5027194	-21.283377	-30.613596	192000	1.26361845e-08	4885.98	-0.0036338102	-176.70068	0.8863586	0.0062926533	0.03825	79.0	425.2375178337097
48	-5.96721	119.88403	138.88828	-192.67603	835.5	-19.885004	1.5080652	-19.11614	-30.150972	196000	9.536744e-10	3593.4478	-0.0060599744	-214.99976	0.9292212	0.0115151815	0.05575	79.0	437.2590355873108
49	-63.800377	132.90012	74.88687	-227.33708	901.25	-23.384027	5.164045	-19.12076	-36.47855	200000	2.2888184e-08	6193.1724	-0.00671529	-656.70703	0.99625194	0.004036571	0.08	79.0	449.8434419631958
